Country,Year,Subject Area,Number of Documents
Indonesia,2021,ENER,3
Indonesia,2021,ENGI,3
Indonesia,2021,ENVI,6
Indonesia,2021,HEAL,2
Indonesia,2021,IMMU,1
Indonesia,2021,MATE,2
Indonesia,2021,MATH,1
Indonesia,2021,MEDI,20
Indonesia,2021,MULT,7
Indonesia,2021,NEUR,2
Indonesia,2021,NURS,6
Indonesia,2021,PHAR,2
Indonesia,2021,PHYS,2
Indonesia,2021,PSYC,1
Indonesia,2021,SOCI,4
Indonesia,2021,VETE,2
Iran,2021,AGRI,1
Iran,2021,BIOC,1
Iran,2021,CHEM,3
Iran,2021,COMP,1
Iran,2021,ENGI,16
Iran,2021,ENVI,2
Iran,2021,MEDI,10
Iran,2021,MULT,4
Iran,2021,NEUR,1
Iran,2021,PHAR,1
Iran,2021,PHYS,59
Iran,2021,PSYC,3
Iran,2021,VETE,1
Iraq,2021,BIOC,5
Iraq,2021,CENG,1
Iraq,2021,ENER,1
Iraq,2021,MEDI,5
Iraq,2021,MULT,2
Iraq,2021,PHAR,1
Iraq,2021,PSYC,2
Ireland,2021,BIOC,1
Ireland,2021,CHEM,2
Ireland,2021,DENT,2
Ireland,2021,ENGI,14
Ireland,2021,ENVI,2
Ireland,2021,MEDI,2
Ireland,2021,PHYS,59
Ireland,2021,PSYC,1
Israel,2021,BIOC,1
Israel,2021,CHEM,2
Israel,2021,EART,1
Israel,2021,ENVI,1
Israel,2021,MATH,1
Israel,2021,MEDI,3
Israel,2021,MULT,1
Israel,2021,PHYS,1
Israel,2021,PSYC,7
Italy,2021,AGRI,3
Italy,2021,BIOC,8
Italy,2021,CHEM,3
Italy,2021,EART,1
Italy,2021,ENGI,18
Italy,2021,ENVI,1
Italy,2021,IMMU,1
Italy,2021,MEDI,34
Italy,2021,MULT,1
Italy,2021,NEUR,6
Italy,2021,NURS,1
Italy,2021,PHAR,2
Italy,2021,PHYS,68
Italy,2021,PSYC,5
Jamaica,2021,MEDI,3
Japan,2021,AGRI,19
Japan,2021,ARTS,2
Japan,2021,BIOC,17
Japan,2021,CENG,24
Japan,2021,CHEM,34
Japan,2021,COMP,14
Japan,2021,DECI,2
Japan,2021,DENT,3
Japan,2021,EART,5
Japan,2021,ENER,8
Japan,2021,ENGI,18
Japan,2021,ENVI,22
Japan,2021,IMMU,16
Japan,2021,MATE,22
Japan,2021,MATH,6
Japan,2021,MEDI,63
Japan,2021,MULT,25
Japan,2021,NEUR,3
Japan,2021,NURS,1
Japan,2021,PHAR,5
Japan,2021,PHYS,13
Japan,2021,PSYC,4
Japan,2021,SOCI,9
Japan,2021,VETE,3
Jordan,2021,MEDI,5
Jordan,2021,PSYC,2
Kazakhstan,2021,AGRI,1
Kazakhstan,2021,CHEM,2
Kazakhstan,2021,ENGI,3
Kazakhstan,2021,PHYS,1
Kenya,2021,CHEM,2
Kenya,2021,IMMU,2
Kenya,2021,MEDI,2
Kenya,2021,PSYC,4
